,,precision,recall,f1-score,support
12,intrinsec,0.5,0.5,0.5,2.0
12,mirai,0.0,0.0,0.0,3.0
12,rapid7,0.0,0.0,0.0,2.0
12,securitytrails,0.0,0.0,0.0,1.0
12,unk_bruteforcer,0.0,0.0,0.0,1.0
12,unk_exploiter,0.0,0.0,0.0,2.0
12,unk_spammer,0.0,0.0,0.0,1.0
12,accuracy,0.15,0.15,0.15,0.15
12,macro avg,0.08181818181818182,0.09090909090909091,0.08585858585858586,20.0
12,weighted avg,0.13,0.15,0.1388888888888889,20.0
13,benign,0.0,0.0,0.0,2.0
13,censys,0.0,0.0,0.0,1.0
13,driftnet,0.0,0.0,0.0,1.0
13,internetcensus,0.3333333333333333,0.5,0.4,4.0
13,intrinsec,0.0,0.0,0.0,2.0
13,mirai,0.0,0.0,0.0,3.0
13,rapid7,0.0,0.0,0.0,2.0
13,securitytrails,0.0,0.0,0.0,1.0
13,unk_bruteforcer,0.0,0.0,0.0,1.0
13,unk_exploiter,0.0,0.0,0.0,2.0
13,unk_spammer,0.0,0.0,0.0,1.0
13,accuracy,0.1,0.1,0.1,0.1
13,macro avg,0.0303030303030303,0.045454545454545456,0.03636363636363637,20.0
13,weighted avg,0.06666666666666667,0.1,0.08,20.0
14,benign,0.16666666666666666,0.5,0.25,2.0
14,censys,0.0,0.0,0.0,1.0
14,driftnet,0.0,0.0,0.0,1.0
14,internetcensus,0.0,0.0,0.0,4.0
14,intrinsec,0.3333333333333333,0.5,0.4,2.0
14,mirai,0.0,0.0,0.0,3.0
14,rapid7,0.0,0.0,0.0,2.0
14,securitytrails,0.0,0.0,0.0,1.0
14,unk_bruteforcer,0.0,0.0,0.0,1.0
14,unk_exploiter,0.0,0.0,0.0,2.0
14,unk_spammer,0.0,0.0,0.0,1.0
14,accuracy,0.1,0.1,0.1,0.1
14,macro avg,0.045454545454545456,0.09090909090909091,0.05909090909090909,20.0
14,weighted avg,0.05,0.1,0.065,20.0
15,benign,0.0,0.0,0.0,2.0
15,censys,0.0,0.0,0.0,1.0
15,driftnet,0.0,0.0,0.0,1.0
15,internetcensus,0.2222222222222222,0.5,0.3076923076923077,4.0
15,intrinsec,0.0,0.0,0.0,2.0
15,mirai,0.0,0.0,0.0,3.0
15,rapid7,0.0,0.0,0.0,2.0
15,securitytrails,0.0,0.0,0.0,1.0
15,unk_bruteforcer,0.0,0.0,0.0,1.0
15,unk_exploiter,0.0,0.0,0.0,2.0
15,unk_spammer,0.0,0.0,0.0,1.0
15,accuracy,0.1,0.1,0.1,0.1
15,macro avg,0.0202020202020202,0.045454545454545456,0.027972027972027972,20.0
15,weighted avg,0.04444444444444444,0.1,0.06153846153846154,20.0
16,benign,0.0,0.0,0.0,2.0
16,censys,0.0,0.0,0.0,1.0
16,driftnet,0.0,0.0,0.0,1.0
16,internetcensus,0.125,0.25,0.16666666666666666,4.0
16,intrinsec,0.0,0.0,0.0,2.0
16,mirai,0.0,0.0,0.0,3.0
16,rapid7,0.0,0.0,0.0,2.0
16,securitytrails,0.0,0.0,0.0,1.0
16,unk_bruteforcer,0.0,0.0,0.0,1.0
16,unk_exploiter,0.0,0.0,0.0,2.0
16,unk_spammer,0.0,0.0,0.0,1.0
16,accuracy,0.05,0.05,0.05,0.05
16,macro avg,0.011363636363636364,0.022727272727272728,0.01515151515151515,20.0
16,weighted avg,0.025,0.05,0.03333333333333333,20.0
17,benign,0.0,0.0,0.0,2.0
17,censys,0.0,0.0,0.0,1.0
17,driftnet,0.0,0.0,0.0,1.0
17,internetcensus,0.0,0.0,0.0,4.0
17,intrinsec,0.3333333333333333,0.5,0.4,2.0
17,mirai,0.0,0.0,0.0,3.0
17,rapid7,0.0,0.0,0.0,2.0
17,securitytrails,0.0,0.0,0.0,1.0
17,unk_bruteforcer,0.0,0.0,0.0,1.0
17,unk_exploiter,0.0,0.0,0.0,2.0
17,unk_spammer,0.0,0.0,0.0,1.0
17,accuracy,0.05,0.05,0.05,0.05
17,macro avg,0.0303030303030303,0.045454545454545456,0.03636363636363637,20.0
17,weighted avg,0.03333333333333333,0.05,0.04,20.0
18,benign,0.0,0.0,0.0,2.0
18,censys,0.0,0.0,0.0,1.0
18,driftnet,0.0,0.0,0.0,1.0
18,internetcensus,0.2857142857142857,0.5,0.36363636363636365,4.0
18,intrinsec,0.0,0.0,0.0,2.0
18,mirai,0.5,0.3333333333333333,0.4,3.0
18,rapid7,0.0,0.0,0.0,2.0
18,securitytrails,0.0,0.0,0.0,1.0
18,unk_bruteforcer,0.0,0.0,0.0,1.0
18,unk_exploiter,0.0,0.0,0.0,2.0
18,unk_spammer,0.0,0.0,0.0,1.0
18,accuracy,0.15,0.15,0.15,0.15
18,macro avg,0.07142857142857142,0.07575757575757575,0.06942148760330578,20.0
18,weighted avg,0.13214285714285715,0.15,0.13272727272727275,20.0
19,benign,0.0,0.0,0.0,2.0
19,censys,0.0,0.0,0.0,1.0
19,driftnet,0.0,0.0,0.0,1.0
19,internetcensus,0.0,0.0,0.0,4.0
19,intrinsec,0.0,0.0,0.0,2.0
19,mirai,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
19,rapid7,0.0,0.0,0.0,2.0
19,securitytrails,0.0,0.0,0.0,1.0
19,unk_bruteforcer,0.0,0.0,0.0,1.0
19,unk_exploiter,0.0,0.0,0.0,2.0
19,unk_spammer,0.0,0.0,0.0,1.0
19,accuracy,0.05,0.05,0.05,0.05
19,macro avg,0.0303030303030303,0.0303030303030303,0.0303030303030303,20.0
19,weighted avg,0.05,0.05,0.05,20.0
20,benign,0.0,0.0,0.0,2.0
20,censys,0.0,0.0,0.0,1.0
20,driftnet,0.0,0.0,0.0,1.0
20,internetcensus,0.0,0.0,0.0,4.0
20,intrinsec,0.0,0.0,0.0,2.0
20,mirai,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
20,rapid7,0.0,0.0,0.0,2.0
20,securitytrails,0.0,0.0,0.0,1.0
20,unk_bruteforcer,0.0,0.0,0.0,1.0
20,unk_exploiter,0.0,0.0,0.0,2.0
20,unk_spammer,0.0,0.0,0.0,1.0
20,accuracy,0.05,0.05,0.05,0.05
20,macro avg,0.0303030303030303,0.0303030303030303,0.0303030303030303,20.0
20,weighted avg,0.05,0.05,0.05,20.0
21,benign,0.0,0.0,0.0,2.0
21,censys,0.0,0.0,0.0,1.0
21,driftnet,0.0,0.0,0.0,1.0
21,internetcensus,0.2727272727272727,0.75,0.4,4.0
21,intrinsec,0.0,0.0,0.0,2.0
21,mirai,0.0,0.0,0.0,3.0
21,rapid7,0.0,0.0,0.0,2.0
21,securitytrails,0.0,0.0,0.0,1.0
21,unk_bruteforcer,0.0,0.0,0.0,1.0
21,unk_exploiter,0.0,0.0,0.0,2.0
21,unk_spammer,0.0,0.0,0.0,1.0
21,accuracy,0.15,0.15,0.15,0.15
21,macro avg,0.024793388429752063,0.06818181818181818,0.03636363636363637,20.0
21,weighted avg,0.05454545454545454,0.15,0.08,20.0
22,benign,0.0,0.0,0.0,2.0
22,censys,0.0,0.0,0.0,1.0
22,driftnet,0.0,0.0,0.0,1.0
22,internetcensus,0.2857142857142857,0.5,0.36363636363636365,4.0
22,intrinsec,0.25,0.5,0.3333333333333333,2.0
22,mirai,0.0,0.0,0.0,3.0
22,rapid7,0.0,0.0,0.0,2.0
22,securitytrails,0.0,0.0,0.0,1.0
22,unk_bruteforcer,0.0,0.0,0.0,1.0
22,unk_exploiter,0.0,0.0,0.0,2.0
22,unk_spammer,0.0,0.0,0.0,1.0
22,accuracy,0.15,0.15,0.15,0.15
22,macro avg,0.0487012987012987,0.09090909090909091,0.06336088154269973,20.0
22,weighted avg,0.08214285714285714,0.15,0.10606060606060605,20.0
23,benign,0.3333333333333333,1.0,0.5,2.0
23,censys,0.0,0.0,0.0,1.0
23,driftnet,0.0,0.0,0.0,1.0
23,internetcensus,0.0,0.0,0.0,4.0
23,intrinsec,0.3333333333333333,0.5,0.4,2.0
23,mirai,0.0,0.0,0.0,3.0
23,rapid7,0.0,0.0,0.0,2.0
23,securitytrails,0.0,0.0,0.0,1.0
23,unk_bruteforcer,0.0,0.0,0.0,1.0
23,unk_exploiter,0.0,0.0,0.0,2.0
23,unk_spammer,0.0,0.0,0.0,1.0
23,accuracy,0.15,0.15,0.15,0.15
23,macro avg,0.0606060606060606,0.13636363636363635,0.08181818181818182,20.0
23,weighted avg,0.06666666666666667,0.15,0.09,20.0
24,benign,0.0,0.0,0.0,2.0
24,censys,0.0,0.0,0.0,1.0
24,driftnet,0.0,0.0,0.0,1.0
24,internetcensus,0.0,0.0,0.0,4.0
24,intrinsec,0.0,0.0,0.0,2.0
24,mirai,0.0,0.0,0.0,3.0
24,rapid7,0.0,0.0,0.0,2.0
24,securitytrails,0.0,0.0,0.0,1.0
24,unk_bruteforcer,0.0,0.0,0.0,1.0
24,unk_exploiter,0.0,0.0,0.0,2.0
24,unk_spammer,0.0,0.0,0.0,1.0
24,accuracy,0.0,0.0,0.0,0.0
24,macro avg,0.0,0.0,0.0,20.0
24,weighted avg,0.0,0.0,0.0,20.0
25,benign,0.0,0.0,0.0,2.0
25,censys,0.0,0.0,0.0,1.0
25,driftnet,0.0,0.0,0.0,1.0
25,internetcensus,0.125,0.25,0.16666666666666666,4.0
25,intrinsec,0.0,0.0,0.0,2.0
25,mirai,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
25,rapid7,0.0,0.0,0.0,2.0
25,securitytrails,0.0,0.0,0.0,1.0
25,unk_bruteforcer,0.0,0.0,0.0,1.0
25,unk_exploiter,0.0,0.0,0.0,2.0
25,unk_spammer,0.0,0.0,0.0,1.0
25,accuracy,0.1,0.1,0.1,0.1
25,macro avg,0.041666666666666664,0.053030303030303025,0.045454545454545456,20.0
25,weighted avg,0.075,0.1,0.08333333333333333,20.0
26,benign,0.0,0.0,0.0,2.0
26,censys,0.0,0.0,0.0,1.0
26,driftnet,0.0,0.0,0.0,1.0
26,internetcensus,0.14285714285714285,0.25,0.18181818181818182,4.0
26,intrinsec,0.0,0.0,0.0,2.0
26,mirai,0.5,0.3333333333333333,0.4,3.0
26,rapid7,0.0,0.0,0.0,2.0
26,securitytrails,0.0,0.0,0.0,1.0
26,unk_bruteforcer,0.0,0.0,0.0,1.0
26,unk_exploiter,0.0,0.0,0.0,2.0
26,unk_spammer,0.0,0.0,0.0,1.0
26,accuracy,0.1,0.1,0.1,0.1
26,macro avg,0.05844155844155843,0.053030303030303025,0.05289256198347107,20.0
26,weighted avg,0.10357142857142856,0.1,0.09636363636363637,20.0
27,benign,0.3333333333333333,1.0,0.5,2.0
27,censys,0.0,0.0,0.0,1.0
27,driftnet,0.0,0.0,0.0,1.0
27,internetcensus,0.0,0.0,0.0,4.0
27,intrinsec,0.3333333333333333,0.5,0.4,2.0
27,mirai,0.0,0.0,0.0,3.0
27,rapid7,0.0,0.0,0.0,2.0
27,securitytrails,0.0,0.0,0.0,1.0
27,unk_bruteforcer,0.0,0.0,0.0,1.0
27,unk_exploiter,0.0,0.0,0.0,2.0
27,unk_spammer,0.0,0.0,0.0,1.0
27,accuracy,0.15,0.15,0.15,0.15
27,macro avg,0.0606060606060606,0.13636363636363635,0.08181818181818182,20.0
27,weighted avg,0.06666666666666667,0.15,0.09,20.0
28,benign,0.0,0.0,0.0,2.0
28,censys,0.0,0.0,0.0,1.0
28,driftnet,0.0,0.0,0.0,1.0
28,internetcensus,0.125,0.25,0.16666666666666666,4.0
28,intrinsec,0.0,0.0,0.0,2.0
28,mirai,0.0,0.0,0.0,3.0
28,rapid7,0.0,0.0,0.0,2.0
28,securitytrails,0.0,0.0,0.0,1.0
28,unk_bruteforcer,0.0,0.0,0.0,1.0
28,unk_exploiter,0.0,0.0,0.0,2.0
28,unk_spammer,0.0,0.0,0.0,1.0
28,accuracy,0.05,0.05,0.05,0.05
28,macro avg,0.011363636363636364,0.022727272727272728,0.01515151515151515,20.0
28,weighted avg,0.025,0.05,0.03333333333333333,20.0
29,benign,0.0,0.0,0.0,2.0
29,censys,0.0,0.0,0.0,1.0
29,driftnet,0.0,0.0,0.0,1.0
29,internetcensus,0.2222222222222222,0.5,0.3076923076923077,4.0
29,intrinsec,0.0,0.0,0.0,2.0
29,mirai,0.0,0.0,0.0,3.0
29,rapid7,0.0,0.0,0.0,2.0
29,securitytrails,0.0,0.0,0.0,1.0
29,unk_bruteforcer,0.0,0.0,0.0,1.0
29,unk_exploiter,0.0,0.0,0.0,2.0
29,unk_spammer,0.0,0.0,0.0,1.0
29,accuracy,0.1,0.1,0.1,0.1
29,macro avg,0.0202020202020202,0.045454545454545456,0.027972027972027972,20.0
29,weighted avg,0.04444444444444444,0.1,0.06153846153846154,20.0
30,benign,0.2,0.5,0.2857142857142857,2.0
30,censys,0.0,0.0,0.0,1.0
30,driftnet,0.0,0.0,0.0,1.0
30,internetcensus,0.0,0.0,0.0,4.0
30,intrinsec,0.3333333333333333,0.5,0.4,2.0
30,mirai,0.0,0.0,0.0,3.0
30,rapid7,0.0,0.0,0.0,2.0
30,securitytrails,0.0,0.0,0.0,1.0
30,unk_bruteforcer,0.0,0.0,0.0,1.0
30,unk_exploiter,0.0,0.0,0.0,2.0
30,unk_spammer,0.0,0.0,0.0,1.0
30,accuracy,0.1,0.1,0.1,0.1
30,macro avg,0.048484848484848485,0.09090909090909091,0.06233766233766234,20.0
30,weighted avg,0.05333333333333333,0.1,0.06857142857142857,20.0
